feature,importance,normalized_importance,cumulative_importance
Темп прироста 2 f1_490,33.99999999999999,0.003218173213440605,0.811168954093706
Ускорение K_4,33.0,0.003123521060104117,0.8142924751538102
"Темп роста 1 Прибыль (убыток) до налогообложения , RUB",33.0,0.003123521060104117,0.8174159962139144
Темп роста 1 f1_190,31.999999999999996,0.0030288689067676285,0.820444865120682
"Темп прироста 1 Краткосрочные обязательства, RUB",31.999999999999996,0.0030288689067676285,0.8234737340274497
Темп прироста 2 f1_690,31.999999999999996,0.0030288689067676285,0.8265026029342174
K_4 3,31.000000000000007,0.002934216753431141,0.8294368196876486
Темп роста 2 f1_490,31.000000000000007,0.002934216753431141,0.8323710364410798
K_9 2,31.000000000000007,0.002934216753431141,0.835305253194511
"Темп роста 2 Долгосрочные обязательства, RUB",31.000000000000007,0.002934216753431141,0.8382394699479422
Темп прироста 2 K_4,31.000000000000007,0.002934216753431141,0.8411736867013734
Темп роста 2 K_1,30.0,0.002839564600094652,0.844013251301468
Темп роста 1 K_20,30.0,0.002839564600094652,0.8468528159015626
Темп прироста 2 K_6,28.999999999999993,0.002744912446758163,0.8495977283483207
Темп роста 2 f1_690,28.999999999999993,0.002744912446758163,0.8523426407950788
Темп прироста 1 K_4,28.999999999999993,0.002744912446758163,0.8550875532418369
K_11 2,28.999999999999993,0.002744912446758163,0.8578324656885951
"Темп роста 1 Оборотные активы, RUB",28.000000000000004,0.0026502602934216756,0.8604827259820167
Ускорение K_18,28.000000000000004,0.0026502602934216756,0.8631329862754383
"Темп роста 1 Себестоимость продаж, RUB",28.000000000000004,0.0026502602934216756,0.86578324656886
K_10 1,28.000000000000004,0.0026502602934216756,0.8684335068622816
K_4 2,26.999999999999996,0.0025556081400851865,0.8709891150023668
Темп прироста 1 K_10,26.999999999999996,0.0025556081400851865,0.8735447231424519
"Темп роста 2 Краткосрочные обязательства, RUB",26.000000000000004,0.0024609559867486987,0.8760056791292006
Темп роста 1 K_10,26.000000000000004,0.0024609559867486987,0.8784666351159492
Темп прироста 1 K_13,26.000000000000004,0.0024609559867486987,0.8809275911026979
"Темп роста 1 Заёмные средства (краткосрочные), RUB",26.000000000000004,0.0024609559867486987,0.8833885470894466
"Ускорение Капитал и резервы, RUB",26.000000000000004,0.0024609559867486987,0.8858495030761953
"Ускорение Прибыль (убыток) от продажи, RUB",25.0,0.00236630383341221,0.8882158069096074
"Темп прироста 2 Прибыль (убыток) от продажи, RUB",25.0,0.00236630383341221,0.8905821107430196
Темп роста 2 K_18,25.0,0.00236630383341221,0.8929484145764318
Ускорение K_5,25.0,0.00236630383341221,0.895314718409844
K_12 2,23.000000000000004,0.0021769995267392336,0.8974917179365832
Темп роста 1 K_1,23.000000000000004,0.0021769995267392336,0.8996687174633224
Темп роста 2 K_17,23.000000000000004,0.0021769995267392336,0.9018457169900617
"Темп роста 1 Долгосрочные обязательства, RUB",23.000000000000004,0.0021769995267392336,0.9040227165168009
Темп роста 1 K_9,21.999999999999996,0.0020823473734027445,0.9061050638902036
K_14 2,21.999999999999996,0.0020823473734027445,0.9081874112636064
"Темп прироста 2 Долгосрочные обязательства, RUB",21.999999999999996,0.0020823473734027445,0.9102697586370091
"Темп прироста 1 Прибыль (убыток) от продажи, RUB",21.999999999999996,0.0020823473734027445,0.9123521060104118
"Темп прироста 1 Долгосрочные обязательства, RUB",21.999999999999996,0.0020823473734027445,0.9144344533838146
Темп роста 1 K_13,21.000000000000004,0.0019876952200662567,0.9164221486038808
"Темп роста 1 Краткосрочные обязательства, RUB",21.000000000000004,0.0019876952200662567,0.9184098438239471
Темп роста 1 K_18,21.000000000000004,0.0019876952200662567,0.9203975390440133
Темп прироста 1 K_9,21.000000000000004,0.0019876952200662567,0.9223852342640796
Ускорение K_9,21.000000000000004,0.0019876952200662567,0.9243729294841458
Темп роста 1 K_4,20.0,0.001893043066729768,0.9262659725508756
"Темп роста 2 Внеоборотные активы, RUB",20.0,0.001893043066729768,0.9281590156176054
Темп роста 1 K_5,20.0,0.001893043066729768,0.9300520586843352
K_12 1,19.0,0.0017983909133932796,0.9318504495977284
"Темп роста 2 Себестоимость продаж, RUB",19.0,0.0017983909133932796,0.9336488405111217
K_10 2,19.0,0.0017983909133932796,0.935447231424515
K_5 1,19.0,0.0017983909133932796,0.9372456223379083
"Темп прироста 1 Внеоборотные активы, RUB",18.000000000000004,0.0017037387600567916,0.9389493610979651
"Ускорение Дебиторская задолженность, RUB",18.000000000000004,0.0017037387600567916,0.9406530998580219
Темп прироста 2 f1_590,18.000000000000004,0.0017037387600567916,0.9423568386180787
"Темп роста 2 Дебиторская задолженность, RUB",18.000000000000004,0.0017037387600567916,0.9440605773781355
"Темп роста 1 Заёмные средства (долгосрочные), RUB",18.000000000000004,0.0017037387600567916,0.9457643161381923
"Темп роста 1 Капитал и резервы, RUB",18.000000000000004,0.0017037387600567916,0.9474680548982491
Ускорение K_11,16.999999999999996,0.0016090866067203025,0.9490771415049695
"Ускорение Нематериальные активы, RUB",16.999999999999996,0.0016090866067203025,0.9506862281116898
K_1 1,15.999999999999998,0.0015144344533838143,0.9522006625650736
"Темп роста 1 Основные средства , RUB",15.999999999999998,0.0015144344533838143,0.9537150970184575
K_9 1,15.999999999999998,0.0015144344533838143,0.9552295314718413
"Темп роста 2 Кредиторская задолженность, RUB",15.999999999999998,0.0015144344533838143,0.9567439659252251
Темп прироста 1 K_6,15.0,0.001419782300047326,0.9581637482252725
"Темп прироста 1 Дебиторская задолженность, RUB",15.0,0.001419782300047326,0.9595835305253199
"Ускорение Оборотные активы, RUB",15.0,0.001419782300047326,0.9610033128253672
